active_forget_targets,active_target_margins,aggregate_risk_ucb,audit_calls,audit_method,counterfactual_dependence,decision,deletion_method,detected_failure,detection_per_1000_calls,direct_leakage,extraction_risk,ground_truth_failure,hf_model,mean_forget_margin,mean_retain_margin,paraphrase_leakage,pretrained_lora_status,retain_completion_accuracy,retain_perplexity,retain_utility,retrieval_dependence,seed,track,watermark_hit
1,user_42_0:-0.3294;user_42_1:0.1583,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3294,0.1583,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,60.2521,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3294;user_42_1:0.1583,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3294,0.1583,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,60.2521,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3294;user_42_1:0.1583,0.9286,24,ADCU,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3294,0.1583,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,60.2521,1.0,0.0,42,Pretrained-LoRA,0.75
0,user_42_0:-0.6498;user_42_1:-0.2966,0.6927,24,MembershipInference,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
0,user_42_0:-0.6498;user_42_1:-0.2966,0.5161,24,ExtractionAudit,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
0,user_42_0:-0.6498;user_42_1:-0.2966,0.6774,24,InfluenceProxy,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
0,user_42_0:-0.6498;user_42_1:-0.2966,0.6451,24,ADCU,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.5119,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.6498,-0.2966,0.4792,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,51.8622,0.0,0.0,42,Pretrained-LoRA,0.375
1,user_42_0:-0.3894;user_42_1:0.0057,1.0,24,MembershipInference,1.0,fail,pretrained LoRA NPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3894,0.0057,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.637,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3894;user_42_1:0.0057,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA NPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3894,0.0057,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.637,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3894;user_42_1:0.0057,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA NPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3894,0.0057,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.637,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3894;user_42_1:0.0057,0.9286,24,ADCU,1.0,fail,pretrained LoRA NPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3894,0.0057,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.637,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3905;user_42_1:0.0048,1.0,24,MembershipInference,1.0,fail,pretrained LoRA SimNPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3905,0.0048,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.6737,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3905;user_42_1:0.0048,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA SimNPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3905,0.0048,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.6737,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3905;user_42_1:0.0048,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA SimNPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3905,0.0048,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.6737,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_42_0:-0.3905;user_42_1:0.0048,0.9286,24,ADCU,1.0,fail,pretrained LoRA SimNPO unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.3905,0.0048,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,1.0,53.6737,1.0,0.0,42,Pretrained-LoRA,0.75
1,user_43_0:0.2817;user_43_1:-0.3170,1.0,24,MembershipInference,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.2817,-0.317,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,96.726,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.2817;user_43_1:-0.3170,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.2817,-0.317,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,96.726,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.2817;user_43_1:-0.3170,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.2817,-0.317,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,96.726,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.2817;user_43_1:-0.3170,0.9286,24,ADCU,1.0,fail,pretrained LoRA full SFT,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.2817,-0.317,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,96.726,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.3092;user_43_1:-0.2448,1.0,24,MembershipInference,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.3092,-0.2448,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,93.795,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.3092;user_43_1:-0.2448,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.3092,-0.2448,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,93.795,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.3092;user_43_1:-0.2448,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.3092,-0.2448,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,93.795,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.3092;user_43_1:-0.2448,0.9286,24,ADCU,1.0,fail,pretrained LoRA filtered retraining,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.3092,-0.2448,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,93.795,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.1117;user_43_1:-0.4581,1.0,24,MembershipInference,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.1117,-0.4581,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,106.8122,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.1117;user_43_1:-0.4581,0.6625,24,ExtractionAudit,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.1117,-0.4581,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,106.8122,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.1117;user_43_1:-0.4581,1.0,24,InfluenceProxy,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.1117,-0.4581,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,106.8122,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:0.1117;user_43_1:-0.4581,0.9286,24,ADCU,1.0,fail,pretrained LoRA gradient-ascent unlearning,True,41.67,0.8452,0.0833,True,HuggingFaceTB/SmolLM2-135M-Instruct,0.1117,-0.4581,0.8229,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,106.8122,0.0,0.0,43,Pretrained-LoRA,0.75
1,user_43_0:-0.2557;user_43_1:-0.8760,0.7547,24,MembershipInference,0.5,fail,pretrained LoRA negative SFT unlearning,True,41.67,0.4881,0.0417,True,HuggingFaceTB/SmolLM2-135M-Instruct,-0.2557,-0.876,0.4618,HuggingFaceTB/SmolLM2-135M-Instruct_safetensors_completed,0.0,93.736,0.0,0.0,43,Pretrained-LoRA,0.375
